Fiscal Year,Requirement Description,Office Symbol,N=New R= Recompete,NAICS Code,Extent of Competition,Estimated Value,Incumbent Contractor,Length of Performance,Target Award Fiscal Year Quarter,Place of Performance if Outside US,Point of Contact Name,Point of Contact Email Address,Item Type,Path
FY 15,Dhaka CA - design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Robert Jeter,JeterRT@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Dhaka CSU - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Robert Jeter,JeterRT@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Dhaka Rec Center,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,RPSO Award,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),Bangladesh,Robert Jeter,JeterRT@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Erbil NCC and Housing,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Iraq,Lynne Theiss,TheissLM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Guadalajara - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Richard Gausseres,GausseresRF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Guatemala - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$5M and <$10M,Miller Hull,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Don Harris,HarrisDE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Hamilton CSU - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),IDIQ,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,May Salehi,SalehiMM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Harare NEC,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Zimbabwe,Paul Thorn,ThornPB@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Havana CSU,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Edward Williamson,WilliamsonEW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Hermosillo - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Richard Gausseres,GausseresRF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Ho Chi Minh CA - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Andrew Tarnowka,TarnowkaAH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Hong Kong Façade - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Amy Averill,AverillAL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Hong Kong Shouson - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Amy Averill,AverillAL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Juba HATS - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,Yost Grube Hall,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Marcy Akel,AkelME@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Kampala - Design ,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$10M and <$20M,BNIM,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Miguel Aparicio,AparicioMM@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Khartoum MSG,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$1M and <$5M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Miguel Aparicio,AparicioMM@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Libreville MSGQ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Set Aside,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Gabon,Stephanie Felton,FeltonSE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Lusaka Rehab - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Mike Schilling,SchillingMR@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Madrid Chancery Façade - Construction,M/OBO/PDCS/PDC,N,"238190 - Other Foundation, Structure, and Building Exterior Contractors",TBD,>$1M and <$5M,RPSO Award,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Eddie Schaeffer,SchaefferEC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Madrid CSU - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Eddie Schaeffer,SchaefferEC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Manila Chancery Rehab - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Philippines,Peter Gulbranson,GulbransonPJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Maputo NEC,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Mozambique,Chris Mawdsley,MawdsleyCJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Marseille CSU,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Rich McGruder,McGruderRK@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Matamoros - D/B Contract,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$100M and <$500M,Richard + Bauer,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Mexico,Mike Lears,LearsMF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mbabane MSGQ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$10M and <$20M,BHLI,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Swaziland,Chris Mawdsley,MawdsleyCJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Merida - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Richard Gausseres,GausseresRF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mexico City - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Mexico,Jason Arnold,ArnoldDJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Montevideo Chancery Rehab,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$50M and <$100M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Uruguay,May Salehi,SalehiMM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Moscow Housing CSU ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Russia,Mike Iarosis,IarosisMF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Nairobi NOX - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$10M and <$20M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Stephanie Felton,FeltonSE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Nassau - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Richard Gausseres,GausseresRF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,New Delhi NOX - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$10M and <$20M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Puja Das,DasP@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,New Delhi Rehab - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Puja Das,DasP@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Niamey - Bridging ,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,Miller Hull,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Christine Maher,MaherCE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Niamey - D/B Contract ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Niger,Christine Maher,MaherCE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Nogales - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Richard Gausseres,GausseresRF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Port Moresby - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$100M and <$500M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Papua New Guinea,Jim Albertson,AlbertsonJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Porto Alegre - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Set Aside,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Brazil,Kevin Morris,MorrisK2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Prague CSU,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Prague,Gary Seibert,SeibertGB@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Pretoria CSU ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),South Africa,Marcy Akel,AkelME@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Rangoon USAID,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Burma,Gary Seibert,SeibertGB@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Rio de Janeiro AE services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Richard Gausseres,GausseresRF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Reykjavik - D/B Contract,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$20M and <$50M,Lease Agreement,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Iceland,Kurt Frevert,FrevertKV@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Sanaa DTFS Infrastructure,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Yemen,Abe Gonzalez,Gonzalez-AvilesA@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Sarajevo CSU,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,(Pick One),IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Kurt Frevert,FrevertKV@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Seoul A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,SHoP,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Nelson Kim,KimNTJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Seoul SMDP Contract,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Korea,Nelson Kim,KimNTJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Shanghai A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,ZGF,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Andrew Tarnowka,TarnowkaAH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Shenyang CA - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Andrew Tarnowka,TarnowkaAH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Stockholm Rehab A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Rich McGruder,McGruderRK@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Surabaya MSGQ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Indonesia,Steve Siebert,SiebertSW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Suva - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Fiji,Alexandros Sapounakis,SapounakisA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Sydney COB LFO - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,(Pick One),N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Jim Albertson,AlbertsonJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Tegucigalpa - A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Mike Lears,LearsMF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Tel Aviv Chancery - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),Israel,Calvin Shipman,ShipmanCV@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Tijuana MSGR ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Mexico,Elizabeth Mierzwa,MierzwaE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Toronto Pan American Games LFO - Reaward to 2nd lowest bidder,M/OBO/PDCS/PDC,R,236220 - Commercial and Institutional Building Construction,TBD,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Canada,Mike Iarosis,IarosisMF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Toronto Pan CSU construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Canada,Mike Iarosis,IarosisMF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Tunis MSGQ - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$500K and <$1M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Ejaz Rahman,RahmanE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Ulaanbaatar MSGQ/CSU,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Mongolia,Steve Siebert,SiebertSW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Vancouver CSU  A/E Services,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$5M and <$10M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Mark Lescher,LescherMW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Vancouver CSU Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$5M and <$10M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Canada,Mark Lescher,LescherMW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Wellington Seismic ,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$1M and <$5M,RPSO Award,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),New Zealand,Jim Albertson,AlbertsonJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Windhoek MSG - Design,M/OBO/PDCS/PDC,N,541310 - Architectural Services,TBD,>$1M and <$5M,IDIQ,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Tom Eckert,EckertTR@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Wuhan CA - Construction,M/OBO/PDCS/PDC,N,236220 - Commercial and Institutional Building Construction,TBD,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),China,Andrew Tarnowka,TarnowkaAH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Rosinka Houing Elevator Renovations,OBO/PDCS/SPC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$1M and <$5M,N/A,More than 12 Months with varying option periods.,Quarter 4 (Jul-Sep),Russia,Mike Iarosis,mf@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Moscow Compound Housing Security Upgrades,OBO/PDCS/SPC,N,236220 - Commercial and Institutional Building Construction,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 1 (Oct-Dec),Russia,Mike Iarosis,iarosismf@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Moscow Compound Renovation,OBO/PDCS/SPC,N,236220 - Commercial and Institutional Building Construction,Not Competed – Other Than Small Business,>$5M and <$10M,N/A,Base + 1 Option Period (2yrs),Quarter 2 (Jan-Mar),Russia,Mike Iarosis,iarosismf@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,St Petersburg A/E services,OBO/PDCS/SPC,N,541310 - Architectural Services,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 1 Option Period (2yrs),Quarter 2 (Jan-Mar),Russia,Martin Jaster,jastermr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,St Petersburg Site Maintenance Services,OBO/PDCS/SPC,N,541310 - Architectural Services,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 1 Option Period (2yrs),Quarter 1 (Oct-Dec),Russia,Martin Jaster,jastermr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,St Petersburg NCC Design,OBO/PDCS/SPC,N,541310 - Architectural Services,Competitive - Full and Open,>$5M and <$10M,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),Russia,Martin Jaster,jastermr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Moscow Telephone System,OBO/PDCS/SPC,N,517919 - All Other Telecommunications,Not Competed – Other Than Small Business,>$1M and <$5M,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),Russia,Steve Pretzman,pretzmansr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Beijing Furniture Support,OBO/PDCS/SPC,N,238390 - Other Building Finishing Contractors,Competitive - Full and Open,>$150K and <$500K,N/A,Less than 12 Months,Quarter 4 (Jul-Sep),China,Lori Knee,kneelg@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Replace Fire Protection System,OBO/OPS/FIR,N,922160 - Fire Protection,Not Competed – Other Than Small Business,>$1M and <$5M,N/A,Base + 1 Option Period (2yrs),Quarter 2 (Jan-Mar),Spain,Michael Bryce,brycema@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Replace Fire Protection System,OBO/OPS/FIR,N,922160 - Fire Protection,Not Competed – Other Than Small Business,>$500K and <$1M,N/A,Base + 1 Option Period (2yrs),Quarter 3 (Apr-Jun),Bolivia,Michael Bryce,brycema@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Replace Fire Protection Sysem,OBO/OPS/FIR,N,922160 - Fire Protection,Not Competed – Other Than Small Business,>$1M and <$5M,N/A,Base + 1 Option Period (2yrs),Quarter 3 (Apr-Jun),Chile,Michael Bryce,brycema@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Replace Fire Protection System,OBO/OPS/FIR,N,922160 - Fire Protection,TBD,>$500K and <$1M,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),Switzerland,Michael Bryce,brycema@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Travel Support and Services,OBO/RM/EX/MSD,R,488190 - Other Support Activities for Air Transportation,Competitive - Full and Open,>$1M and <$5M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Connie Hines,hinescl@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mailroom and Courier Services,OBO/RM/EX/MSD,R,492210 - Local Messengers and Local Delivery,Set Aside,>$1M and <$5M,Columbia Lighthouse for the Blind,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Connie Hines,hinescl@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Art in Embassy Redesign,OBO/RM/EX/IRM,N,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Dan Stapula,stapulade@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,BIM Data Architecture Development,OBO/RM/EX/IRM,N,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Dan Stapula,stapulade@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Design Excellence Application Development,OBO/RM/EX/IRM,N,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Dan Stapula,stapulade@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,MeterNet Data Integration,OBO/RM/EX/IRM,N,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Dan Stapula,stapulade@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,OBO Portal/Records Management,OBO/RM/EX/IRM,N,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Dan Stapula,stapulade@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ProjNet Modernization,OBO/RM/EX/IRM,N,541511 - Custom Computer Programming Services,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Dan Stapula,stapulaDE@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
