"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,CBP Confernece and Training Center,CHAMPLAIN,NY,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Definitive Contract,Set-Aside,600000,600000,600000,TBD,TBD,New Requirement,GSA funded-PBS,2016-01-30,,FY 2016-3rd Quarter,Chuck Ferro,charles.ferro@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Treasury Department ISA,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,640000,660000,,,,New Requirement,GSA funded-PBS,2015-11-30,,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Pedestrian Bridge Repairs,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,770000,790000,,,,New Requirement,GSA funded-PBS,2015-12-01,,FY 2016-4th Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Repairs to Exterior Insulation and Facade work,ST CROIX,VI,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",810000,835000,,,,New Requirement,GSA funded-PBS,2016-03-01,N/A,FY 2016-3rd Quarter,Olga Rodriguez,olga.rodriguez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Penthouse Roof immediate repairs,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,1000000,1100000,,,,New Requirement,GSA funded-PBS,2015-12-01,,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Replace Chillers,NEWARK,NJ,236220,Small Business,FFP,FBO,Full and Open after exclusion,1000000,1150000,,,,New Requirement,GSA funded-PBS,,,FY 2016-4th Quarter,David Cassert,david.cassert@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Degetau Roof Replacement Project,San Juan,PR,236220,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1200000,1300000,,,,New Requirement,GSA funded,TBD,N/A,FY 2016-4th Quarter,Brad Edwards,brad.edwards@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Local Law 11 Facade Repairs Javits,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,1240000,1260000,,,,New Requirement,GSA funded-PBS,2015-11-01,,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Solicitation Issued,SSA ODAR Backfill,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,1300000,1450000,-,N/A,N/A,New Requirement,GSA funded-PBS,2015-12-07,N/A,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Replace 350 ton Trane Absorber,NEW YORK-KINGS,NY,238290,Other Than Small,Firm Fixed Price,IDIQ,Competitive,1430000,1660000,,Trane,GS-02P-12-PV-C-0022,New Requirement,GSA funded-PBS,2016-03-01,,FY 2016-2nd Quarter,Nicholas Uom, nicholas.oum@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov","In price negotiation phase.  Design Build project expected award date: March 1, 2016"
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Plaza Repairs,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,1700000,1900000,,,,New Requirement,GSA funded-PBS,2015-12-01,,FY 2016-Quarter To Be Determined,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Alex Bay LPOE AE MOD,"Alexandria Bay, NY",NY,531310,Other Than Small,Firm Fixed Price,Contract modification,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",2300000,2700000,,Morphosis,,New Requirement,GSA funded-PBS,,,FY 2016-3rd Quarter,Sebastian Asaro,sebastian.asaro@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Howard Street Garage Repair and Upgrage,NEW YORK-MANHATTAN,NY,236220,Small Business,Firm Fixed Price,IDIQ,Competitive,2550000,2750000,,,,New Requirement,GSA funded-PBS,2015-12-01,,FY 2016-3rd Quarter,"James Smith, Lawrence Eng, Nicholas Uom","jamesk.smith@gsa.gov, lawrence.eng@gsa.gov. nicholas.oum@gsa.gov","Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,Varick Street DHS/ICE Conslidation,New York,NY,236220,Small Business,Firm Fixed Price,Negotiated,Set-Aside,6000000,7000000,,,,New Requirement,GSA funded,TBD,N/A,FY 2016-3rd Quarter,Patricia Wright,patricia.wright@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,26 Federal Plaza Backfill Project,New York,NY,236220,Small Business,Firm Fixed Price,Negotiated,Full and Open,8000000,12000000,,,,New Requirement,GSA funded-PBS,TBD,N/A,FY 2016-3rd Quarter,Claudia Rivera,claudia.rivera@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Evaluation Stage,Degetau ARRA Follow on - GC,San Juan,PR,236220,Small Business,Firm Fixed Price,Negotiated,Set-Aside,10000000,12000000,,,,New Requirement,GSA funded-PBS,2015-08-06,https://www.fbo.gov/index?s=opportunity&mode=form&id=b9a80df49422504446ed009023cacf55&tab=core&_cview=1,FY 2016-2nd Quarter,Hillary Gonzalez,hillary.gonzalez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,St. Thomas Perimeter Security GC,St. Thomas,VI,236220,Other Than Small,Firm Fixed Price,Negotiated,Full and Open,15000000,20000000,,,,New Requirement,GSA funded-PBS,TBD,N/A,FY 2016-4th Quarter,Chong Lee,judy.lee@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,26 Floor FBI Renovation Project,New York,NY,236220,Small Business,Firm Fixed Price,Negotiated,Competitive Delivery Order Fair Opportunity Provided,5000000,7000000,,,,New Requirement,Non-GSA funded,TBD,N/A,FY 2016-4th Quarter,Miriam Lopez,miriam.lopez@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Planning,FBI 24th Floor SCIF Project - 26 FED PLZ,New York,NY,236220,Small Business,Firm Fixed Price,Negotiated,Competitive Delivery Order Fair Opportunity Provided,3000000,5000000,,,,New Requirement,Non-GSA funded,TBD,N/A,FY 2016-4th Quarter,Deborah Malachi,deborah.malachi@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R2-Northeast and Caribbean Region,Evaluation Stage,FBI Building - Puerto Rico,San Juan,PR,236220,Other Than Small,Firm Fixed Price,Negotiated,Full and Open,75000000,87000000,,,,New Requirement,Non-GSA funded,TBD,N/A,FY 2016-3rd Quarter,Stephen Kohri,stephen.kohri@gsa.gov,"Janice Bracey, 212-264-1235 janice.bracey@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Building Envelope Renovation,Trenton,NJ,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Definitive Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000000,5000000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-05-01,na,FY 2016-4th Quarter,Regina Knox,regina.knox@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Water Infiltration Repairs,Camden,NJ,236220,Woman-Owned Small Business,Firm Fixed Price,Definitive Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Flat Roof Replacement,Philadelphia,PA,236220,HUBZone Small Business,Firm Fixed Price,Definitive Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000000,5000000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Nancy Morris,nancy.morris@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Paint Wood Windows,Philadelphia,PA,236220,HUBZone Small Business,Firm Fixed Price,Definitive Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Ground Water Pump Station,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,5000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-01-15,na,FY 2016-2nd Quarter,Jeff Linskens,jeffery.linskens@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Generator Exhaust,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,100000,500000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-01-15,na,FY 2016-2nd Quarter,Nancy Morris,nancy.morris@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,HVAC Improvements,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,1000000,5000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-06-01,na,FY 2016-4th Quarter,Jeff Linskens,jeffery.linskens@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Loading Dock Retaining Wall,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,500000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Occupancy Sensors,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,100000,500000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Building Signage,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,1000000,5000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Door Replacement,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,1000000,5000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Chiller Isolation Springs,Philadelphia,PA,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Auditorium Stage Flooring,Philadelphia,PA,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,50000,100000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Sound Masking,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,1000000,5000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Rainwater Conductors,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,5000000,1000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,SSA OIG Relocation,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,1000000,5000000,na,na,New Requirement,New Requirement,Non-GSA funded,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Chiller & Cooling Tower Design,Wilmington,DE,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2015-12-01,na,FY 2016-2nd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Elevator Modernization Design,Trenton,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2015-12-01,na,FY 2016-2nd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,AHU Replacement Design,Philadelphia,PA,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2015-12-01,na,FY 2016-2nd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Chiller Replacement Design,Philadelphia,PA,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2015-12-01,na,FY 2016-2nd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Fire Safety Survey,Wilmington,DE,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Fan Coil Unit Construction,Wilmington,DE,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Definitive Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000000,5000000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-05-01,na,FY 2016-4th Quarter,Nancy Morris,nancy.morris@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Transformer & Electrical Upgrade Study,Wilmington,DE,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,100000,500000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Chiller & Cooling Tower Study,Trenton,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,50000,100000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,E-4 Retrocommissioning,Trenton,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,50000,100000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Level IV BER,Trenton,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,50000,100000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Fire Safety Survey,Camden,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,50000,100000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Belle Mead Land Studies,Belle Meade,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,25000,50000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Garage Water Infiltration Study,Camden,NJ,541330,Small Business,Firm Fixed Price,Order under IDV,Fair Opportunity,25000,50000,na,na,New Requirement,New Requirement,GSA funded-PBS,2016-03-31,na,FY 2016-3rd Quarter,Jay Oxenberg,jay.oxenberg@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
